Cycle,Inhalation (s),Apnea 1 (s),Exhalation (s),Apnea 2 (s),Total Cycle (s)
1,3.0,6.0,8.0,7.0,24.0
2,4.0,6.0,7.0,7.0,24.0
3,3.0,5.0,4.0,4.0,16.0
4,1.0,1.0,4.0,1.0,7.0
5,2.0,2.0,3.0,2.0,9.0
6,1.0,3.0,3.0,1.0,8.0
7,2.0,3.0,3.0,4.0,12.0
8,2.0,3.0,4.0,6.0,15.0
9,1.0,6.0,6.0,3.0,16.0
10,4.0,1.0,5.0,4.0,14.0
11,4.0,2.0,4.0,1.0,11.0
12,2.0,1.0,3.0,2.0,8.0
13,2.0,1.0,3.0,1.0,7.0
14,2.0,1.0,4.0,2.0,9.0
15,3.0,6.0,3.0,3.0,15.0
16,3.0,1.0,3.0,1.0,8.0
17,4.0,1.0,2.0,1.0,8.0
18,3.0,1.0,3.0,2.0,9.0
19,3.0,1.0,7.0,1.0,12.0
20,1.0,1.0,2.0,2.0,6.0
21,3.0,4.0,2.0,1.0,10.0
22,1.0,4.0,1.0,3.0,9.0
23,1.0,2.0,4.0,2.0,9.0
24,2.0,3.0,6.0,2.0,13.0
25,3.0,1.0,3.0,1.0,8.0
26,3.0,1.0,2.0,2.0,8.0
27,5.0,1.0,3.0,1.0,10.0
28,3.0,2.0,2.0,1.0,8.0
29,5.0,5.0,2.0,3.0,15.0
30,1.0,1.0,1.0,4.0,7.0
31,1.0,1.0,1.0,3.0,6.0
32,1.0,3.0,1.0,1.0,6.0
33,1.0,1.0,1.0,1.0,4.0
34,2.0,1.0,1.0,1.0,5.0
35,4.0,1.0,2.0,1.0,8.0
36,1.0,3.0,1.0,2.0,7.0
37,1.0,3.0,1.0,2.0,7.0
38,2.0,2.0,1.0,1.0,6.0
39,3.0,1.0,2.0,1.0,7.0
40,2.0,3.0,2.0,2.0,9.0
41,2.0,2.0,2.0,1.0,7.0
42,5.0,3.0,1.0,4.0,13.0
43,1.0,1.0,1.0,1.0,4.0
44,5.0,1.0,2.0,2.0,10.0
45,2.0,2.0,3.0,1.0,8.0
46,2.0,1.0,3.0,3.0,9.0
47,3.0,1.0,3.0,2.0,9.0
48,1.0,12.0,1.0,1.0,15.0
49,2.0,2.0,8.0,1.0,13.0
50,10.0,1.0,4.0,1.0,16.0
51,1.0,2.0,1.0,1.0,5.0
52,2.0,4.0,4.0,1.0,11.0
53,4.0,2.0,3.0,2.0,11.0
54,4.0,3.0,2.0,1.0,10.0
55,2.0,1.0,1.0,4.0,8.0
56,2.0,1.0,4.0,13.0,20.0
57,2.0,2.0,6.0,1.0,11.0
58,2.0,1.0,12.0,1.0,16.0
59,1.0,1.0,2.0,2.0,6.0
60,1.0,1.0,1.0,1.0,4.0
avg,2.5,2.3,3.1,2.2,10.1
